symbol,timestamp,type,maturity,strike,underlying,bid,ask
AAPL,1328020230,C,1350705600,405.0,455.25,72.05,73.3
AAPL,1328020230,C,1350705600,295.0,455.25,162.35,165.7
AAPL,1328020230,C,1350705600,420.0,455.25,62.65,63.3
AAPL,1328020230,C,1350705600,450.0,455.25,45.4,45.9
AAPL,1328020230,C,1350705600,440.0,455.25,50.75,51.25
AAPL,1328020230,C,1350705600,400.0,455.25,76.0,76.7
AAPL,1328020230,C,1350705600,430.0,455.25,56.5,57.15
AAPL,1328020230,C,1350705600,390.0,455.25,83.1,84.0
AAPL,1328020230,C,1350705600,310.0,455.25,149.3,151.0
AAPL,1328020230,C,1350705600,280.0,455.25,176.4,179.85
AAPL,1328020230,C,1350705600,435.0,455.25,53.6,54.1
AAPL,1328020230,C,1350705600,465.0,455.25,37.75,38.5
AAPL,1328020230,C,1350705600,475.0,455.25,33.65,34.0
AAPL,1328020230,C,1350705600,305.0,455.25,153.0,156.4
AAPL,1328020230,C,1350705600,445.0,455.25,48.0,48.5
AAPL,1328020230,C,1350705600,455.0,455.25,42.85,43.25
AAPL,1328020230,C,1350705600,460.0,455.25,40.35,40.9
AAPL,1328020230,C,1350705600,480.0,455.25,31.4,32.0
AAPL,1328020230,C,1350705600,375.0,455.25,94.05,95.55
AAPL,1328020230,C,1350705600,360.0,455.25,106.0,107.4
AAPL,1328020230,C,1350705600,370.0,455.25,98.3,99.25
AAPL,1328020230,C,1350705600,470.0,455.25,35.65,36.25
AAPL,1328020230,C,1350705600,335.0,455.25,126.1,129.35
AAPL,1328020230,C,1350705600,345.0,455.25,118.4,119.85
AAPL,1328020230,C,1342843200,435.0,455.25,44.3,44.75
AAPL,1328020230,C,1342843200,465.0,455.25,28.3,28.7
AAPL,1328020230,C,1342843200,430.0,455.25,47.35,48.0
AAPL,1328020230,C,1342843200,475.0,455.25,23.9,24.45
AAPL,1328020230,C,1342843200,410.0,455.25,60.95,61.6
AAPL,1328020230,C,1342843200,420.0,455.25,53.55,54.55
AAPL,1328020230,C,1342843200,455.0,455.25,33.2,33.65
AAPL,1328020230,C,1342843200,440.0,455.25,41.4,41.75
AAPL,1328020230,C,1342843200,445.0,455.25,38.5,39.05
AAPL,1328020230,C,1342843200,460.0,455.25,30.7,31.05
AAPL,1328020230,C,1342843200,450.0,455.25,35.8,36.2
AAPL,1328020230,C,1390021200,410.0,455.25,100.0,101.25
AAPL,1328020230,C,1390021200,390.0,455.25,111.35,112.8
AAPL,1328020230,C,1342843200,480.0,455.25,22.0,22.3
AAPL,1328020230,C,1342843200,485.0,455.25,20.2,20.55
AAPL,1328020230,C,1390021200,400.0,455.25,105.5,106.75
AAPL,1328020230,C,1342843200,470.0,455.25,26.1,26.4
AAPL,1328020230,C,1331956800,280.0,455.25,173.5,177.65
AAPL,1328020230,C,1390021200,350.0,455.25,136.8,138.35
AAPL,1328020230,C,1342843200,490.0,455.25,18.45,18.7
AAPL,1328020230,C,1390021200,360.0,455.25,130.3,131.65
AAPL,1328020230,C,1342843200,375.0,455.25,88.05,89.0
AAPL,1328020230,C,1342843200,370.0,455.25,92.4,93.3
AAPL,1328020230,C,1342843200,365.0,455.25,96.85,97.75
AAPL,1328020230,C,1342843200,360.0,455.25,101.2,102.05
AAPL,1328020230,C,1390021200,380.0,455.25,116.8,118.85
AAPL,1328020230,C,1342843200,340.0,455.25,119.15,120.25
AAPL,1328020230,C,1342843200,355.0,455.25,105.3,106.35
AAPL,1328020230,C,1390021200,370.0,455.25,123.85,125.15
AAPL,1328020230,C,1342843200,395.0,455.25,72.15,72.7
AAPL,1328020230,C,1390021200,420.0,455.25,94.4,95.75
AAPL,1328020230,C,1342843200,385.0,455.25,79.85,80.65
AAPL,1328020230,C,1342843200,380.0,455.25,83.9,84.75
AAPL,1328020230,C,1342843200,425.0,455.25,50.65,51.05
AAPL,1328020230,C,1342843200,415.0,455.25,57.0,58.0
AAPL,1328020230,C,1342843200,400.0,455.25,67.9,68.85
AAPL,1328020230,C,1342843200,390.0,455.25,75.65,76.8
AAPL,1328020230,C,1342843200,405.0,455.25,64.6,65.1
AAPL,1328020230,C,1342843200,295.0,455.25,160.5,163.65
AAPL,1328020230,C,1342843200,305.0,455.25,151.85,153.15
AAPL,1328020230,C,1342843200,320.0,455.25,137.35,138.75
AAPL,1328020230,C,1342843200,310.0,455.25,147.3,148.25
AAPL,1328020230,C,1342843200,315.0,455.25,142.2,143.35
AAPL,1328020230,C,1342843200,325.0,455.25,133.05,134.15
AAPL,1328020230,C,1342843200,350.0,455.25,110.1,111.0
AAPL,1328020230,C,1331956800,370.0,455.25,85.25,86.35
AAPL,1328020230,C,1342843200,335.0,455.25,123.35,124.95
AAPL,1328020230,C,1342843200,345.0,455.25,114.5,115.6
AAPL,1328020230,C,1331956800,355.0,455.25,100.4,101.25
AAPL,1328020230,C,1331956800,360.0,455.25,95.35,96.1
AAPL,1328020230,C,1331956800,365.0,455.25,90.45,91.15
AAPL,1328020230,C,1331956800,340.0,455.25,115.25,115.9
AAPL,1328020230,C,1331956800,325.0,455.25,130.15,131.35
AAPL,1328020230,C,1331956800,330.0,455.25,125.3,125.85
AAPL,1328020230,C,1331956800,390.0,455.25,65.65,66.75
AAPL,1328020230,C,1331956800,345.0,455.25,110.35,110.95
AAPL,1328020230,C,1331956800,385.0,455.25,70.6,71.6
AAPL,1328020230,C,1331956800,315.0,455.25,140.15,141.3
AAPL,1328020230,C,1331956800,320.0,455.25,135.15,136.3
AAPL,1328020230,C,1331956800,300.0,455.25,155.1,156.3
AAPL,1328020230,C,1331956800,335.0,455.25,120.3,121.0
AAPL,1328020230,C,1331956800,405.0,455.25,51.65,52.35
AAPL,1328020230,C,1331956800,375.0,455.25,80.55,81.3
AAPL,1328020230,C,1331956800,410.0,455.25,47.15,47.55
AAPL,1328020230,C,1331956800,415.0,455.25,42.6,43.1
AAPL,1328020230,C,1331956800,395.0,455.25,61.2,61.75
AAPL,1328020230,C,1331956800,350.0,455.25,105.35,106.0
AAPL,1328020230,C,1342843200,330.0,455.25,128.15,129.65
AAPL,1328020230,C,1331956800,380.0,455.25,75.6,76.45
AAPL,1328020230,C,1358571600,550.0,455.25,17.4,17.95
AAPL,1328020230,C,1331956800,605.0,455.25,0.0,0.08
AAPL,1328020230,C,1331956800,600.0,455.25,0.0,0.08
AAPL,1328020230,C,1334980800,550.0,455.25,0.64,0.77
AAPL,1328020230,C,1334980800,555.0,455.25,0.51,0.66
AAPL,1328020230,C,1334980800,565.0,455.25,0.33,0.44
AAPL,1328020230,C,1331956800,595.0,455.25,0.0,0.08
